date,time,y,co_gt,nhmc,c6h6,s2,nox,s3,no2,s4,s5,t,rh,ah,level
10/13/2004,20:00:00,943,-200.0,-200.0,7.2,867.0,-200.0,834.0,-200.0,1314.0,891.0,14.8,57.3,0.9603,
8/10/2004,3:00:00,919,0.5,-200.0,3.9,704.0,-200.0,861.0,-200.0,1603.0,860.0,24.4,65.0,1.9612,Low
6/21/2004,8:00:00,1221,3.7,-200.0,23.3,1386.0,,626.0,109.0,2138.0,,23.3,38.6,1.0919,High
7/12/2004,12:00:00,1024,2.1,-200.0,12.1,1052.0,183.0,779.0,,1690.0,952.0,28.5,27.3,1.0479,High
12/14/2004,12:00:00,1377,4.4,-200.0,21.7,1342.0,786.0,499.0,206.0,1546.0,2006.0,12.9,54.1,0.8003,High
5/9/2004,15:00:00,1086,-200.0,,7.0,859.0,-200.0,892.0,-200.0,,754.0,17.7,54.0,1.0826,Very low
7/27/2004,17:00:00,989,-200.0,-200.0,,1004.0,123.0,818.0,119.0,,783.0,32.4,22.4,1.0701,Very low
7/17/2004,22:00:00,1142,2.3,-200.0,,1035.0,100.0,746.0,112.0,1611.0,1062.0,27.9,27.6,1.0252,High
8/14/2004,1:00:00,919,1.0,-200.0,4.5,737.0,49.0,899.0,63.0,,611.0,25.1,55.7,,Moderate
6/5/2004,16:00:00,1133,1.9,-200.0,10.2,984.0,110.0,838.0,92.0,1897.0,976.0,26.6,47.6,1.6315,High
9/19/2004,7:00:00,901,1.0,-200.0,4.8,754.0,139.0,936.0,,1351.0,854.0,16.8,66.8,1.2721,Moderate
1/15/2005,11:00:00,1128,2.4,-200.0,10.0,977.0,448.0,673.0,153.0,1199.0,1202.0,5.6,72.3,0.6627,High
5/8/2004,6:00:00,871,-200.0,-200.0,2.6,628.0,,1243.0,-200.0,1329.0,518.0,8.7,81.5,0.919,Very low
6/18/2004,2:00:00,791,0.5,-200.0,3.1,658.0,30.0,1140.0,43.0,1467.0,609.0,24.0,45.8,1.3467,Low
6/15/2004,15:00:00,1053,2.6,-200.0,15.8,1173.0,189.0,785.0,140.0,1808.0,981.0,34.0,20.8,1.0898,High
3/17/2004,8:00:00,1587,4.1,260.0,21.4,1334.0,320.0,702.0,108.0,1999.0,1534.0,11.1,60.2,0.7958,High
9/21/2004,16:00:00,1252,3.2,-200.0,17.8,1233.0,342.0,618.0,168.0,,1127.0,31.5,31.4,1.431,High
5/15/2004,15:00:00,965,1.4,-200.0,8.3,910.0,,,81.0,1389.0,643.0,28.2,19.4,0.7303,High
10/24/2004,6:00:00,1029,1.2,-200.0,7.5,880.0,182.0,,47.0,1451.0,965.0,17.3,78.4,1.5319999999999998,High
5/12/2004,12:00:00,1452,3.3,-200.0,22.7,1371.0,207.0,576.0,117.0,2138.0,1622.0,,43.3,1.1265,High
9/23/2004,6:00:00,961,0.9,-200.0,6.3,828.0,132.0,892.0,66.0,1491.0,837.0,21.3,63.2,1.5794,Low
1/31/2005,20:00:00,1523,6.8,-200.0,29.2,1533.0,984.0,456.0,282.0,1532.0,2214.0,7.3,36.8,0.3771,High
5/23/2004,19:00:00,1085,1.1,-200.0,5.8,805.0,69.0,972.0,65.0,1528.0,718.0,25.3,36.3,1.1513,High
9/5/2004,18:00:00,880,1.1,-200.0,4.3,728.0,-200.0,1046.0,-200.0,1167.0,514.0,31.6,18.0,0.8243,High
7/1/2004,22:00:00,1140,2.1,-200.0,11.6,1035.0,107.0,726.0,112.0,1779.0,1059.0,27.7,39.3,1.4372,High
1/17/2005,17:00:00,1294,4.0,-200.0,21.2,1330.0,676.0,535.0,193.0,1363.0,1725.0,11.4,28.7,0.3865,High
2/16/2005,1:00:00,1195,2.5,-200.0,10.7,1004.0,387.0,652.0,193.0,1078.0,1421.0,5.2,44.2,0.3943,High
3/19/2004,6:00:00,969,0.7,-200.0,2.3,607.0,56.0,1373.0,61.0,1324.0,438.0,12.3,66.3,0.9487,Low
8/10/2004,1:00:00,942,0.7,-200.0,4.9,758.0,17.0,824.0,,1567.0,856.0,28.1,51.6,1.9269,Low
12/31/2004,20:00:00,962,-200.0,,5.3,780.0,-200.0,919.0,-200.0,909.0,884.0,9.6,32.3,0.3871,Very low
11/24/2004,14:00:00,1278,2.9,-200.0,14.4,1130.0,436.0,580.0,129.0,1506.0,1471.0,,,1.0375,High
2/16/2005,3:00:00,1077,1.4,-200.0,5.9,806.0,-200.0,725.0,-200.0,949.0,1296.0,,49.1,0.4019,High
11/15/2004,12:00:00,881,1.7,-200.0,6.4,831.0,330.0,,116.0,1074.0,793.0,13.4,37.1,0.5683,High
8/11/2004,5:00:00,941,0.7,-200.0,3.5,685.0,50.0,895.0,32.0,1632.0,834.0,25.9,63.6,2.102,Low
2/19/2005,9:00:00,1141,2.5,-200.0,9.0,940.0,399.0,651.0,231.0,1099.0,1285.0,2.1,59.9,0.4338,High
2/4/2005,18:00:00,1096,2.2,-200.0,,954.0,345.0,687.0,197.0,1085.0,1139.0,9.1,37.8,0.4372,High
11/13/2004,13:00:00,1267,3.6,-200.0,14.1,1118.0,473.0,592.0,166.0,,1310.0,21.5,42.7,1.0837,High
11/21/2004,16:00:00,1018,0.9,-200.0,8.2,907.0,292.0,889.0,,981.0,1150.0,14.9,21.7,0.3646,Low
10/31/2004,16:00:00,1169,2.2,-200.0,10.1,983.0,,672.0,79.0,1633.0,,23.0,62.3,1.7248,High
