,text,label
0,Just got back from seeing @GaryDelaney in Burslem. AMAZING!! Face still hurts from laughing so much #hilarious,joy
1,Oh dear an evening of absolute hilarity I don't think I have laughed so much in a long time! 😂,joy
2,Been waiting all week for this game ❤️❤️❤️ #cheer #friday ❤️,joy
3,"@gardiner_love : Thank you so much, Gloria! You're so sweet, and thoughtful! You just made my day more joyful! I love you too! 😊💕",joy
4,"I feel so blessed to work with the family that I nanny for ❤️ nothing but love &amp; appreciation, makes me smile.",joy
5,"Today I reached 1000 subscribers on YT!! , #goodday, #thankful",joy
6,"@Singaholic121 Good morning, love! Happy first day of fall. Let's make some awesome #autumnmemories #annabailey #laughter #smile",joy
7,"#BridgetJonesBaby is the best thing I've seen in ages! So funny, I've missed Bridget! #love  #TeamMark",joy
8,Just got back from seeing @GaryDelaney in Burslem. AMAZING!! Face still hurts from laughing so much ,joy
9,"@IndyMN I thought the holidays could not get any more cheerful, and then I met you. #TheNiceBot",joy
10,I'm just still . So happy .\nA blast,joy
11,It's meant to be!! #happy #happy,joy
12,💥⚖️Yeah‼️ PAUL‼️⚖️💥  #glorious #BB18,joy
13,My morning started off amazing!! Hopefully the whole day is going as i want it to go!\n #GreatDay ,joy
14,😱 @cailamarsai you've had me 😂 😂 the whole time watching @black_ishABC after you've lost your #glasses! It was #hilarious! @mrbabyboogaloo,joy
15,@iamTinaDatta love you so much #smile 😊😊,joy
16,"@WyoWiseGuy @LivingVertical however, REI did offer me the job today as well. Can't believe how exponentially freaking joyous I feel...!!!",joy
17,2 days until #GoPackGo and 23 days until #GoGipeGo..... I'm so excited! #smiling,joy
18,@TheMandyMoore You are beyond wonderful.  Your singing prowess is phenomenal but damn... I'm just elated to watch you act again. #ThisIsUs 珞,joy
19,"@luckiiCHARM_ Luckii, I'm changing in so many ways bc of Him!! It's a scary but joyful feeling, making me so strong.",joy
20,@JoshNoneYaBiz I love parody accounts! Well done. Vote for #Trump. #lol #hilarious,joy
21,"When you wake up from a dream laughing at something stupid, and that makes you laugh more #hilarious",joy
22,"now that I have my future planned out, I feel so much happier #goals #life #happy #igotthis #yay",joy
23,Online now !!!:) all day come play with me !! I'm happy happy horny playful sweet sour;),joy
24,@grahnort wonderful experience watching you yesterday at. @BBCLetItShine thankyou for the #laughter,joy
25,@itsyourgirl_Z happy birthday :) have a blessed day love from Toronto :) #bday ,joy
26,@WSJNordics You make the world a more joyful place. #TheNiceBot,joy
27,Morning all! Of course it is sunny on this Monday morning to cheerfully welcome us back to work.:),joy
28,"@Singaholic121 Good morning, love! Happy first day of fall. Let's make some awesome #autumnmemories #annabailey  ",joy
29,It's the #FirstDayofFall and I'm so happy. Sipping my #PumpkinSpice flavored coffee and #smiling! Happy Fall everyone! #amwriting,joy
30,Retweeted GunnySmith93 (@Stephen21Smith):\n\nDays like today I am happy to be alive! #blessed #rejoice,joy
31,@ADenkyirah Happy birthday! Hope you have a wonderful day filled with lots of joy and laughter &lt;3 (despite tumblr being a jerk- once again),joy
32,LOVE LOVE LOVE  #fun #relaxationiskey,joy
33,"This is the day You've made, \n\nLet us rehoi rejoice and be glad with all that I am. \n\n😊💖\n\n#aja \nGood morning!!!!",joy
34,I #love to #laugh and share #laughter as way to share #joy,joy
35,second day on the job and i already got a 45 dollar tip from a dude whose was constantly twitching his eye LOLOLOL #cheering,joy
36,I'm such a fan of endless #laughter with #friends and enjoying #happiness together. #FridayFeeling #weekend,joy
37,the thought of you gets me through my day. the thought of your smile never fails at making me smile 💚,joy
