transaction_id,user_id,transaction_date,amount,transaction_type
1001,6444,2022-01-09,788.95,deposit
1002,1642,2022-03-22,3982.0,purchase
1003,3858,2022-06-10,4894.65,withdrawal
1004,1289,2022-09-18,1532.62,withdrawal
1005,4130,2022-08-14,3167.09,purchase
1006,3182,2022-06-09,4494.95,withdrawal
1007,6138,2022-08-04,2863.14,deposit
1008,4192,2022-08-09,2523.75,withdrawal
1009,5913,2022-06-24,196.56,purchase
1010,5333,2022-06-22,4366.63,withdrawal
1011,8195,2022-06-17,2981.46,deposit
1012,2049,2022-02-09,3293.05,deposit
1013,6619,2022-07-02,3945.11,withdrawal
1014,1648,2022-08-23,3337.59,purchase
1015,506,2022-03-20,712.27,withdrawal
1016,508,2022-01-25,4674.97,withdrawal
1017,3270,2022-01-23,3942.23,purchase
1018,8828,2022-09-14,4026.83,deposit
1019,9907,2022-05-30,1265.03,deposit
1020,852,2022-08-20,308.43,purchase
1021,4924,2022-07-09,1063.83,purchase
1022,4970,2022-10-24,227.57,deposit
1023,5229,2022-06-22,4858.84,withdrawal
1024,4787,2022-04-28,3148.42,purchase
1025,938,2022-12-30,3905.38,deposit
1026,7196,2022-04-10,288.33,purchase
1027,520,2022-01-18,3688.37,purchase
1028,53,2022-10-25,304.86,withdrawal
1029,6569,2022-02-28,2732.47,deposit
1030,5406,2022-01-09,1097.77,purchase
1031,2853,2022-03-06,1444.7,purchase
1032,4917,2022-03-01,1870.94,withdrawal
1033,1517,2022-08-12,3908.74,deposit
1034,3816,2022-11-12,409.04,purchase
1035,1492,2022-09-18,497.16,purchase
1036,2166,2022-06-07,3628.86,withdrawal
1037,2316,2022-07-15,2803.91,deposit
1038,5072,2022-04-17,3308.24,withdrawal
1039,3291,2022-05-11,4985.69,deposit
1040,1301,2022-12-29,2904.45,deposit
1041,2920,2022-04-26,4320.65,deposit
1042,8743,2022-01-14,3819.39,deposit
1043,3239,2022-08-29,4382.75,purchase
1044,6095,2022-06-14,4964.31,withdrawal
1045,186,2022-08-24,3105.74,purchase
1046,8920,2022-12-13,4737.04,withdrawal
1047,6896,2022-07-24,3000.72,withdrawal
1048,9733,2022-07-08,357.19,purchase
1049,551,2022-07-19,735.8,deposit
1050,4796,2022-10-19,647.25,deposit
1051,7090,2022-06-12,2987.09,purchase
1052,9427,2022-05-26,2451.77,withdrawal
1053,6650,2022-03-06,167.82,deposit
1054,2015,2022-03-22,1303.79,withdrawal
1055,5370,2022-12-18,3178.27,purchase
1056,3106,2022-09-08,851.8,withdrawal
1057,3256,2022-01-11,1000.09,withdrawal
1058,6055,2022-09-13,3044.54,purchase
1059,9810,2022-09-05,1109.42,purchase
1060,7845,2022-03-21,3144.25,purchase
1061,7521,2022-08-04,834.27,deposit
1062,1314,2022-04-08,4556.27,withdrawal
1063,2557,2022-07-14,4599.65,withdrawal
1064,2968,2022-09-07,2488.05,purchase
1065,6240,2022-06-11,1465.62,purchase
1066,6856,2022-07-29,858.58,purchase
1067,9380,2022-03-05,732.55,withdrawal
1068,7619,2022-10-21,1615.27,withdrawal
1069,7160,2022-02-07,3048.37,deposit
1070,9468,2022-11-24,2289.81,purchase
1071,6770,2022-01-08,1979.99,withdrawal
1072,919,2022-09-29,1153.31,purchase
1073,645,2022-06-11,1446.93,withdrawal
1074,6719,2022-04-25,231.73,withdrawal
1075,2759,2022-02-23,2773.6,withdrawal
1076,4671,2022-09-29,3851.27,purchase
1077,6182,2022-02-22,4521.33,deposit
1078,5507,2022-02-15,1858.09,withdrawal
1079,8416,2022-10-27,3898.65,purchase
1080,1528,2022-09-07,1774.5,deposit
1081,1349,2022-10-08,1481.77,withdrawal
1082,3061,2022-11-07,2968.62,withdrawal
1083,627,2022-06-20,3157.24,deposit
1084,949,2022-07-28,3127.78,purchase
1085,5845,2022-01-29,2634.24,withdrawal
