Date,AdjustedClose,Return
11/20/23,351.51,0.58
11/17/23,349.47,0.01
11/16/23,349.45,-0.13
11/15/23,349.91,0.47
11/14/23,348.28,1.43
11/13/23,343.38,0.16
11/10/23,342.83,1.15
11/09/23,338.92,-0.64
11/08/23,341.12,-0.12
11/07/23,341.53,0.17
11/06/23,340.96,0.10
11/03/23,340.61,0.66
11/02/23,338.39,1.69
11/01/23,332.75,0.67
10/31/23,330.53,0.38
10/30/23,329.29,1.58
10/27/23,324.18,-1.12
10/26/23,327.84,-0.76
10/25/23,330.36,-0.32
10/24/23,331.41,0.62
10/23/23,329.36,-0.58
10/20/23,331.27,-0.86
10/19/23,334.14,-0.75
10/18/23,336.65,-0.98
10/17/23,339.98,0.04
10/16/23,339.85,0.94
10/13/23,336.70,0.12
10/12/23,336.31,-0.51
10/11/23,338.05,0.20
10/10/23,337.39,0.40
10/09/23,336.05,0.59
10/06/23,334.08,0.87
10/05/23,331.20,-0.03
10/04/23,331.30,0.39
10/03/23,330.02,-1.29
10/02/23,334.33,-0.22
09/29/23,335.08,-0.47
09/28/23,336.66,0.35
09/27/23,335.50,-0.21
09/26/23,336.19,-1.14
09/25/23,340.07,0.13
09/22/23,339.64,-0.31
09/21/23,340.70,-1.08
09/20/23,344.41,-0.22
09/19/23,345.18,-0.31
09/18/23,346.24,0.02
09/15/23,346.18,-0.83
09/14/23,349.07,0.96
09/13/23,345.76,-0.20
09/12/23,346.46,-0.05
09/11/23,346.64,0.25
09/08/23,345.77,0.22
09/07/23,345.01,0.17
09/06/23,344.43,-0.57
09/05/23,346.42,-0.56
09/01/23,348.38,0.33
08/31/23,347.22,-0.48
08/30/23,348.90,0.11
08/29/23,348.53,0.85
08/28/23,345.60,0.62
08/25/23,343.47,0.73
08/24/23,340.99,-1.08
08/23/23,344.73,0.54
08/22/23,342.89,-0.51
08/21/23,344.64,-0.11
08/18/23,345.01,0.08
08/17/23,344.75,-0.84
08/16/23,347.66,-0.52
08/15/23,349.46,-1.03
08/14/23,353.08,0.08
08/11/23,352.81,0.30
08/10/23,351.76,0.15
08/09/23,351.23,-0.54
08/08/23,353.14,-0.45
08/07/23,354.73,1.16
08/04/23,350.66,-0.43
08/03/23,352.16,-0.19
08/02/23,352.83,-0.98
08/01/23,356.31,0.20
07/31/23,355.60,0.28
07/28/23,354.59,0.50
07/27/23,352.83,-0.67
07/26/23,355.20,0.23
07/25/23,354.38,0.08
07/24/23,354.11,0.52
07/21/23,352.28,0.01
07/20/23,352.25,0.47
07/19/23,350.61,0.31
07/18/23,349.52,1.06
07/17/23,345.85,0.22
07/14/23,345.09,0.33
07/13/23,343.95,0.14
07/12/23,343.47,0.25
07/11/23,342.61,0.93
07/10/23,339.44,0.62
07/07/23,337.35,-0.55
07/06/23,339.22,-1.07
07/05/23,342.89,-0.37
07/03/23,344.18,0.03
06/30/23,344.08,0.84
06/29/23,341.22,0.79
06/28/23,338.53,-0.22
06/27/23,339.27,0.63
06/26/23,337.15,-0.04
06/23/23,337.27,-0.65
06/22/23,339.47,-0.01
06/21/23,339.52,-0.30
06/20/23,340.54,-0.71
06/16/23,342.99,-0.32
06/15/23,344.08,1.26
06/14/23,339.79,-0.68
06/13/23,342.12,0.43
06/12/23,340.66,0.56
06/09/23,338.77,0.13
06/08/23,338.34,0.50
06/07/23,336.65,0.27
06/06/23,335.73,0.03
06/05/23,335.63,-0.59
06/02/23,337.63,2.12
06/01/23,330.62,0.47
05/31/23,329.08,-0.41
05/30/23,330.43,-0.15
05/26/23,330.93,1.00
05/25/23,327.65,-0.11
05/24/23,328.00,-0.77
05/23/23,330.56,-0.69
05/22/23,332.87,-0.42
05/19/23,334.27,-0.33
05/18/23,335.36,0.34
05/17/23,334.21,1.24
05/16/23,330.12,-1.01
05/15/23,333.49,0.14
05/12/23,333.01,-0.03
05/11/23,333.10,-0.66
05/10/23,335.31,-0.09
05/09/23,335.62,-0.17
05/08/23,336.19,-0.16
05/05/23,336.74,1.65
05/04/23,331.28,-0.86
05/03/23,334.14,-0.80
05/02/23,336.85,-1.08
05/01/23,340.52,-0.13
04/28/23,340.98,0.80
04/27/23,338.26,1.57
04/26/23,333.02,-0.68
04/25/23,335.31,-1.02
04/24/23,338.75,0.20
04/21/23,338.09,0.07
04/20/23,337.87,-0.32
04/19/23,338.97,-0.24
04/18/23,339.77,-0.03
04/17/23,339.87,0.30
04/14/23,338.86,-0.42
04/13/23,340.30,1.14
04/12/23,336.47,-0.11
04/11/23,336.85,0.29
04/10/23,335.87,0.30
04/06/23,334.85,0.01
04/05/23,334.83,0.24
04/04/23,334.02,-0.59
04/03/23,336.01,0.98
03/31/23,332.74,1.26
03/30/23,328.59,0.43
03/29/23,327.18,1.00
03/28/23,323.94,-0.12
03/27/23,324.32,0.60
03/24/23,322.38,0.41
03/23/23,321.05,0.23
03/22/23,320.30,-1.63
03/21/23,325.61,0.98
03/20/23,322.45,1.20
03/17/23,318.62,-1.19
03/16/23,322.47,1.17
03/15/23,318.75,-0.87
03/14/23,321.55,1.06
03/13/23,318.19,-0.29
03/10/23,319.10,-1.07
03/09/23,322.55,-1.66
03/08/23,327.98,-0.18
03/07/23,328.56,-1.72
03/06/23,334.31,0.12
03/03/23,333.91,1.17
03/02/23,330.04,1.05
03/01/23,326.62,0.02
02/28/23,326.57,-0.71
02/27/23,328.89,0.22
02/24/23,328.17,-1.02
02/23/23,331.54,0.33
02/22/23,330.45,-0.26
02/21/23,331.30,-2.06
02/17/23,338.27,0.39
02/16/23,336.97,-1.26
02/15/23,341.28,0.11
02/14/23,340.89,-0.46
02/13/23,342.46,1.11
02/10/23,338.69,0.50
02/09/23,337.00,-0.73
02/08/23,339.49,-0.61
02/07/23,341.57,0.78
02/06/23,338.91,-0.10
02/03/23,339.26,-0.38
02/02/23,340.54,-0.11
02/01/23,340.93,0.02
01/31/23,340.86,1.09
01/30/23,337.17,-0.77
01/27/23,339.78,0.09
01/26/23,339.49,0.61
01/25/23,337.44,0.03
01/24/23,337.34,0.31
01/23/23,336.30,0.76
01/20/23,333.75,1.00
01/19/23,330.45,-0.76
01/18/23,332.97,-1.81
01/17/23,339.11,-1.14
01/13/23,343.03,0.33
01/12/23,341.90,0.64
01/11/23,339.73,0.80
01/10/23,337.04,0.55
01/09/23,335.18,-0.34
01/06/23,336.31,2.13
01/05/23,329.30,-1.02
01/04/23,332.70,0.40
01/03/23,331.36,-0.03
12/30/22,331.47,-0.22
12/29/22,332.21,1.05
12/28/22,328.76,-1.10
12/27/22,332.42,0.11
12/23/22,332.04,0.54
12/22/22,330.27,-1.05
12/21/22,333.76,1.60
12/20/22,328.50,0.28
12/19/22,327.58,-0.49
12/16/22,329.20,-0.85
12/15/22,332.02,-2.25
12/14/22,339.66,-0.42
12/13/22,341.09,0.31
12/12/22,340.05,1.58
12/09/22,334.76,-0.90
12/08/22,337.81,0.54
12/07/22,335.98,0.01
12/06/22,335.96,-1.03
12/05/22,339.47,-1.40
12/02/22,344.30,0.10
12/01/22,343.95,-0.56
11/30/22,345.90,2.18
11/29/22,338.53,0.01
11/28/22,338.49,-1.45
11/25/22,343.47,0.45
11/23/22,341.94,0.28
11/22/22,340.98,1.18
11/21/22,337.00,-0.14
11/18/22,337.46,0.60
11/17/22,335.46,-0.02
11/16/22,335.54,-0.12
11/15/22,335.93,0.17
11/14/22,335.37,-0.63
11/11/22,337.48,0.10
11/10/22,337.15,3.69
11/09/22,325.14,-1.95
11/08/22,331.61,1.02
11/07/22,328.27,1.31
11/04/22,324.03,1.26
11/03/22,320.01,-0.46
11/02/22,321.48,-1.55
11/01/22,326.53,-0.24
10/31/22,327.33,-0.39
10/28/22,328.62,2.59
10/27/22,320.33,0.61
10/26/22,318.39,0.01
10/25/22,318.37,1.07
10/24/22,315.00,1.34
10/21/22,310.83,2.47
10/20/22,303.34,-0.30
10/19/22,304.24,-0.33
10/18/22,305.24,1.12
10/17/22,301.86,1.86
10/14/22,296.35,-1.34
10/13/22,300.39,2.83
10/12/22,292.11,-0.10
10/11/22,292.39,0.12
10/10/22,292.03,-0.32
10/07/22,292.97,-2.11
10/06/22,299.27,-1.15
10/05/22,302.74,-0.14
10/04/22,303.16,2.80
10/03/22,294.91,2.66
09/30/22,287.26,-1.71
09/29/22,292.26,-1.54
09/28/22,296.84,1.88
09/27/22,291.35,-0.43
09/26/22,292.61,-1.11
09/23/22,295.90,-1.62
09/22/22,300.77,-0.35
09/21/22,301.84,-1.70
09/20/22,307.06,-1.01
09/19/22,310.20,0.64
09/16/22,308.22,-0.45
09/15/22,309.62,-0.56
09/14/22,311.35,0.10
09/13/22,311.05,-3.94
09/12/22,323.81,0.71
09/09/22,321.52,1.19
09/08/22,317.75,0.61
09/07/22,315.81,1.40
09/06/22,311.45,-0.55
09/02/22,313.18,-1.07
09/01/22,316.56,0.46
08/31/22,315.10,-0.88
08/30/22,317.91,-0.96
08/29/22,320.99,-0.57
08/26/22,322.83,-3.03
08/25/22,332.92,0.98
08/24/22,329.69,0.18
08/23/22,329.10,-0.47
08/22/22,330.64,-1.91
08/19/22,337.07,-0.86
08/18/22,339.99,0.06
08/17/22,339.80,-0.50
08/16/22,341.52,0.71
08/15/22,339.12,0.45
08/12/22,337.61,1.27
08/11/22,333.37,0.08
08/10/22,333.10,1.64
08/09/22,327.74,-0.18
08/08/22,328.33,0.09
08/05/22,328.03,0.23
08/04/22,327.27,-0.26
08/03/22,328.13,1.29
08/02/22,323.96,-1.23
08/01/22,327.98,-0.14
07/29/22,328.45,0.97
07/28/22,325.30,1.03
07/27/22,321.98,1.37
07/26/22,317.62,-0.71
07/25/22,319.90,0.29
07/22/22,318.99,-0.43
07/21/22,320.37,0.51
07/20/22,318.75,0.15
07/19/22,318.27,2.43
07/18/22,310.73,-0.69
07/15/22,312.88,2.15
07/14/22,306.30,-0.46
07/13/22,307.73,-0.67
07/12/22,309.81,-0.62
07/11/22,311.74,-0.52
07/08/22,313.38,-0.15
07/07/22,313.85,1.12
07/06/22,310.38,0.23
07/05/22,309.68,-0.41
07/01/22,310.97,1.05
06/30/22,307.75,-0.82
06/29/22,310.29,0.26
06/28/22,309.47,-1.56
06/27/22,314.38,-0.20
06/24/22,315.01,2.69
06/23/22,306.77,0.64
06/22/22,304.83,-0.15
06/21/22,305.30,2.14
06/17/22,298.89,-0.13
06/16/22,299.27,-2.42
06/15/22,306.69,1.00
06/14/22,303.65,-0.50
06/13/22,305.17,-2.79
06/10/22,313.93,-2.73
06/09/22,322.73,-1.94
06/08/22,329.11,-0.81
06/07/22,331.80,0.80
06/06/22,329.16,0.05
06/03/22,329.00,-1.05
06/02/22,332.48,1.33
06/01/22,328.13,-0.54
05/31/22,329.90,-0.67
05/27/22,332.13,1.76
05/26/22,326.37,1.61
05/25/22,321.20,0.60
05/24/22,319.29,0.15
05/23/22,318.80,1.98
05/20/22,312.62,0.03
05/19/22,312.53,-0.75
05/18/22,314.90,-3.57
05/17/22,326.55,1.34
05/16/22,322.23,0.08
05/13/22,321.97,1.47
05/12/22,317.30,-0.33
05/11/22,318.34,-1.02
05/10/22,321.61,-0.26
05/09/22,322.46,-1.98
05/06/22,328.99,-0.30
05/05/22,329.98,-3.12
05/04/22,340.61,2.81
05/03/22,331.29,0.20
05/02/22,330.62,0.26
04/29/22,329.77,-2.77
04/28/22,339.16,1.84
04/27/22,333.02,0.19
04/26/22,332.40,-2.38
04/25/22,340.49,0.70
04/22/22,338.11,-2.82
04/21/22,347.93,-1.05
04/20/22,351.61,0.72
04/19/22,349.11,1.45
04/18/22,344.12,-0.11
04/14/22,344.51,-0.33
04/13/22,345.65,1.01
04/12/22,342.20,-0.26
04/11/22,343.08,-1.19
04/08/22,347.21,0.40
04/07/22,345.84,0.25
04/06/22,344.97,-0.42
04/05/22,346.41,-0.80
04/04/22,349.22,0.30
04/01/22,348.18,0.40
03/31/22,346.78,-1.56
03/30/22,352.29,-0.18
03/29/22,352.94,0.97
03/28/22,349.56,0.27
03/25/22,348.61,0.44
03/24/22,347.08,1.02
03/23/22,343.59,-1.29
03/22/22,348.07,0.74
03/21/22,345.53,-0.58
03/18/22,347.55,0.79
03/17/22,344.81,1.23
03/16/22,340.63,1.55
03/15/22,335.44,1.82
03/14/22,329.45,0.00
03/11/22,329.44,-0.69
03/10/22,331.74,-0.34
03/09/22,332.86,2.00
03/08/22,326.33,-0.56
03/07/22,328.17,-2.37
03/04/22,336.15,-0.53
03/03/22,337.95,-0.28
03/02/22,338.91,1.79
03/01/22,332.95,-1.76
02/28/22,338.93,-0.49
02/25/22,340.59,2.51
02/24/22,332.24,0.28
02/23/22,331.32,-1.38
02/22/22,335.97,-1.41
02/18/22,340.79,-0.68
02/17/22,343.12,-1.78
02/16/22,349.34,-0.16
02/15/22,349.89,1.22
02/14/22,345.66,-0.50
02/11/22,347.38,-1.43
02/10/22,352.42,-1.47
02/09/22,357.68,0.86
02/08/22,354.63,1.06
02/07/22,350.91,0.00
02/04/22,350.90,-0.06
02/03/22,351.11,-1.45
02/02/22,356.29,0.63
