Date,AdjustedClose,Return
11/20/23,339.97,1.47
11/17/23,335.04,0.25
11/16/23,334.19,0.44
11/15/23,332.71,-1.07
11/14/23,336.31,2.16
11/13/23,329.19,0.13
11/10/23,328.77,2.56
11/09/23,320.55,0.24
11/08/23,319.78,0.30
11/07/23,318.82,0.96
11/06/23,315.80,0.38
11/03/23,314.60,1.20
11/02/23,310.87,-0.31
11/01/23,311.85,3.51
10/31/23,301.27,-0.46
10/30/23,302.66,2.00
10/27/23,296.73,2.91
10/26/23,288.35,-3.73
10/25/23,299.53,-4.17
10/24/23,312.55,-0.46
10/23/23,314.01,1.74
10/20/23,308.65,-1.33
10/19/23,312.81,-1.31
10/18/23,316.97,-2.17
10/17/23,324.00,0.89
10/16/23,321.15,2.05
10/13/23,314.69,-2.92
10/12/23,324.16,-1.12
10/11/23,327.82,1.86
10/10/23,321.84,1.09
10/09/23,318.36,0.93
10/06/23,315.43,3.49
10/05/23,304.79,-0.26
10/04/23,305.58,1.54
10/03/23,300.94,-1.92
10/02/23,306.82,2.20
09/29/23,300.21,-1.23
09/28/23,303.96,2.09
09/27/23,297.74,-0.41
09/26/23,298.96,-0.62
09/25/23,300.83,0.59
09/22/23,299.08,1.13
09/21/23,295.73,-1.31
09/20/23,299.67,-1.77
09/19/23,305.07,0.83
09/18/23,302.55,0.75
09/15/23,300.31,-3.66
09/14/23,311.72,2.18
09/13/23,305.06,1.13
09/12/23,301.66,-1.92
09/11/23,307.56,3.25
09/08/23,297.89,-0.26
09/07/23,298.67,-0.17
09/06/23,299.17,-0.33
09/05/23,300.15,1.27
09/01/23,296.38,0.17
08/31/23,295.89,0.27
08/30/23,295.10,-0.97
08/29/23,297.99,2.66
08/28/23,290.26,1.67
08/25/23,285.50,-0.44
08/24/23,286.75,-2.55
08/23/23,294.24,2.31
08/22/23,287.60,-0.79
08/21/23,289.90,2.35
08/18/23,283.25,-0.65
08/17/23,285.09,-3.13
08/16/23,294.29,-2.54
08/15/23,301.95,-1.38
08/14/23,306.19,1.51
