date,open,max,min,close,vol
2005-09-23,2.7888,2.8189,2.6531,2.6607,306208914
2005-09-26,2.6379,2.6907,2.6003,2.6607,54362594
2005-09-27,2.6907,2.7888,2.6907,2.7737,54182812
2005-09-28,2.8264,2.9018,2.7962,2.834,71039045
2005-09-29,2.7888,2.8868,2.7586,2.8489,28740025
2005-09-30,2.7888,2.7888,2.7132,2.7888,75289537
2005-10-03,2.7812,2.7888,2.7436,2.7586,13179113
2005-10-04,2.7661,2.7737,2.6757,2.6757,18978051
2005-10-05,2.6757,2.6907,2.6078,2.6907,28783724
2005-10-06,2.6531,2.6757,2.6228,2.6531,21038101
2005-10-07,2.6379,2.6531,2.6228,2.6531,11906574
2005-10-10,2.6531,2.6983,2.6456,2.6456,5169618
2005-10-11,2.6531,2.6757,2.6305,2.6531,7569763
2005-10-12,2.6531,2.6757,2.5928,2.5928,8546749
2005-10-13,2.6003,2.6003,2.4345,2.4646,37368626
2005-10-14,2.4496,2.5174,2.427,2.51,20374785
2005-10-17,2.5475,2.5552,2.4874,2.4874,10811743
2005-10-18,2.51,2.5174,2.442,2.4646,13257925
2005-10-19,2.4345,2.4571,2.412,2.4571,15813442
2005-10-20,2.51,2.5174,2.412,2.427,9395861
2005-10-21,2.412,2.4193,2.3892,2.3968,17291814
2005-10-24,2.3668,2.3892,2.3216,2.3818,23285774
2005-10-25,2.4044,2.525,2.3968,2.525,13589944
2005-10-26,2.5401,2.5928,2.4721,2.5475,18387014
2005-10-27,2.4646,2.51,2.4496,2.4796,6605066
2005-10-28,2.4496,2.525,2.4345,2.5174,10397465
2005-10-31,2.5401,2.5401,2.51,2.5174,1922028
2005-11-02,2.5174,2.5701,2.5174,2.5701,7681601
2005-11-03,2.5777,2.5851,2.4646,2.4721,12992369
2005-11-04,2.4948,2.5024,2.442,2.4496,6976347
2005-11-07,2.4496,2.4496,2.3591,2.3741,9940300
2005-11-08,2.4044,2.4193,2.3892,2.3892,7189314
2005-11-09,2.4044,2.412,2.3818,2.3892,5808523
2005-11-10,2.4044,2.412,2.3364,2.3741,7013795
2005-11-14,2.3968,2.3968,2.3216,2.3364,6098944
2005-11-15,2.344,2.3741,2.3216,2.3668,5232277
2005-11-16,2.3515,2.3515,2.2385,2.2611,28254240
2005-11-17,2.2535,2.329,2.1858,2.3216,20665239
2005-11-18,2.3515,2.3668,2.3216,2.3515,11074429
2005-11-21,2.3668,2.3668,2.3364,2.3515,5330319
2005-11-22,2.3591,2.4193,2.3591,2.3741,13002719
2005-11-23,2.412,2.4193,2.344,2.3741,12496852
2005-11-24,2.3591,2.4044,2.3063,2.329,15263091
2005-11-25,2.314,2.3591,2.2989,2.3063,13307893
2005-11-28,2.2385,2.2912,2.2385,2.2687,12185936
2005-11-29,2.2535,2.3818,2.246,2.3741,22474411
2005-11-30,2.4044,2.442,2.3892,2.427,13550695
2005-12-01,2.442,2.442,2.412,2.427,9067478
2005-12-02,2.412,2.412,2.3364,2.344,14512564
2005-12-05,2.344,2.3668,2.3216,2.344,10313658
2005-12-06,2.344,2.344,2.3063,2.3063,5654919
2005-12-07,2.3216,2.3741,2.314,2.3364,8097129
2005-12-08,2.3364,2.3668,2.329,2.344,9166918
2005-12-09,2.3591,2.3668,2.344,2.344,3493570
2005-12-12,2.3591,2.3591,2.344,2.3515,3438607
2005-12-13,2.3515,2.3668,2.344,2.3668,4074324
2005-12-14,2.3668,2.427,2.3668,2.427,14033953
2005-12-15,2.4345,2.4796,2.4193,2.4571,15601733
2005-12-16,2.4796,2.4796,2.3968,2.4721,12444384
2005-12-19,2.4721,2.4874,2.4496,2.4721,6193176
2005-12-20,2.4496,2.5174,2.4496,2.4874,17066487
2005-12-21,2.5024,2.51,2.4874,2.5024,8786618
2005-12-22,2.5024,2.51,2.4721,2.4796,4333893
2005-12-23,2.4721,2.5024,2.4721,2.4874,5619225
2005-12-27,2.4874,2.4948,2.4571,2.4721,4557952
2005-12-28,2.4646,2.4721,2.4193,2.4345,4597329
2005-12-29,2.427,2.442,2.412,2.4345,3936316
2005-12-30,2.4345,2.442,2.412,2.4193,3346571
2006-01-02,2.3968,2.4345,2.3741,2.4193,10540649
2006-01-03,2.442,2.4796,2.4345,2.4646,13387506
2006-01-04,2.4874,2.5024,2.4721,2.4874,6748274
2006-01-05,2.5024,2.5024,2.4721,2.4721,11032824
2006-01-06,2.442,2.4571,2.427,2.4345,11671833
2006-01-09,2.4571,2.4721,2.427,2.427,9472425
2006-01-10,2.412,2.412,2.3892,2.3968,6870788
2006-01-11,2.3892,2.412,2.3892,2.4044,7865460
2006-01-12,2.412,2.412,2.3968,2.4044,5365127
2006-01-13,2.3968,2.412,2.3968,2.4044,5157723
2006-01-16,2.4044,2.412,2.3892,2.4044,8887786
2006-01-17,2.3968,2.4044,2.3892,2.4044,7356198
2006-01-18,2.3818,2.3892,2.3818,2.3818,3752977
2006-01-19,2.3818,2.412,2.3741,2.4044,6638890
2006-01-20,2.412,2.4796,2.4044,2.4496,8128028
2006-01-23,2.4345,2.4345,2.412,2.427,5606950
2006-01-24,2.4345,2.4646,2.412,2.4345,6191274
2006-01-25,2.4496,2.51,2.442,2.51,24954078
