date,open,max,min,close,vol
2017-07-27,33.173,33.486,31.238,32.712,26463407
2017-07-28,32.712,33.532,32.62,33.403,4379133
2017-07-31,33.514,33.975,33.413,33.91,3128553
2017-08-01,33.956,34.187,33.772,33.993,2355214
2017-08-02,34.076,34.085,33.265,33.634,5409659
2017-08-03,33.532,33.542,33.081,33.173,3121866
2017-08-04,33.265,33.496,33.173,33.357,629269
2017-08-07,33.357,33.357,32.998,32.998,1756213
2017-08-08,33.035,33.21,33.035,33.173,337166
2017-08-09,33.155,33.173,33.081,33.173,817008
2017-08-10,33.127,33.173,33.081,33.127,452729
2017-08-11,33.127,33.155,33.035,33.127,545088
2017-08-14,33.127,33.191,33.081,33.173,679868
2017-08-16,33.099,33.155,32.961,33.035,1014151
2017-08-17,32.814,33.035,31.348,31.348,2023958
2017-08-18,31.33,31.837,31.238,31.514,1025321
2017-08-21,31.607,31.625,30.897,31.33,857600
2017-08-22,30.685,32.897,30.685,32.602,1327917
2017-08-23,32.731,33.339,32.731,33.109,1759736
2017-08-24,33.109,33.274,32.712,32.887,1041730
2017-08-25,32.897,33.173,32.814,33.173,1016152
2017-08-28,33.173,33.173,32.436,32.989,125150
2017-08-29,33.127,33.127,32.712,32.915,108091
2017-08-30,33.081,33.164,32.897,32.989,462894
2017-08-31,32.897,33.173,32.897,33.173,611305
2017-09-01,33.265,33.744,33.201,33.717,575064
2017-09-04,33.698,33.698,33.293,33.449,162997
2017-09-05,33.449,33.569,33.182,33.357,384130
2017-09-06,33.33,33.588,33.33,33.542,234355
2017-09-07,33.542,33.615,33.284,33.284,219676
2017-09-08,33.311,33.542,33.311,33.477,105754
2017-09-11,33.477,34.555,33.477,34.555,1231883
2017-09-12,34.666,35.044,34.555,34.896,632005
2017-09-13,34.878,35.108,34.574,34.924,543934
2017-09-14,34.832,34.869,34.223,34.813,755484
2017-09-15,34.555,35.007,34.481,35.007,994798
2017-09-18,34.97,34.97,34.463,34.463,95504
2017-09-19,34.481,34.684,33.993,34.325,406876
2017-09-20,34.325,34.463,34.058,34.141,262552
2017-09-21,34.131,34.242,33.79,33.938,126493
2017-09-22,33.818,34.426,33.818,34.048,292236
2017-09-25,33.929,34.15,33.929,33.984,404446
2017-09-26,33.91,34.187,33.846,34.094,474940
2017-09-27,33.984,34.122,33.956,33.956,442102
2017-09-28,33.91,34.223,33.643,34.141,310017
2017-09-29,34.094,34.168,33.735,34.168,345412
2017-10-02,34.094,34.131,33.929,34.076,103125
2017-10-03,34.002,34.279,33.956,34.131,250191
2017-10-04,33.956,34.002,33.385,33.809,106345
2017-10-05,33.634,33.855,33.293,33.855,558491
2017-10-06,33.846,34.214,33.496,33.68,450356
2017-10-09,33.864,34.131,33.634,34.131,385236
2017-10-10,34.094,34.325,33.818,34.316,359051
2017-10-11,34.122,34.325,33.836,33.836,274291
2017-10-12,33.836,34.141,33.836,34.058,378845
2017-10-13,34.085,34.647,33.827,34.408,494463
2017-10-16,34.408,34.629,33.726,34.325,404007
2017-10-17,34.27,34.454,34.113,34.122,418282
2017-10-18,34.122,34.325,34.012,34.085,100715
2017-10-19,34.085,34.104,33.643,34.039,212731
2017-10-20,34.094,34.094,33.385,33.634,181932
2017-10-23,33.634,33.947,33.403,33.79,311786
2017-10-24,33.625,33.892,33.523,33.625,147835
