date,open,max,min,close,vol
2009-06-25,45.5,47.324,44.689,46.635,4169894
2009-06-26,46.999,49.473,46.999,47.608,547311
2009-06-29,48.46,48.582,47.608,48.257,104114
2009-06-30,48.663,49.838,48.663,49.433,226226
2009-07-01,48.742,49.717,48.742,49.352,68841
2009-07-02,49.473,49.473,47.446,47.771,172150
2009-07-03,46.959,47.608,46.635,47.04,43128
2009-07-06,46.635,47.688,45.094,47.244,82290
2009-07-07,46.999,47.122,46.554,47.04,154446
2009-07-08,46.554,46.838,45.581,46.472,12342
2009-07-09,46.269,47.04,46.229,46.635,173670
2009-07-10,46.675,47.04,46.554,46.635,112324
2009-07-13,45.418,46.635,45.418,46.229,7156
2009-07-14,46.554,47.851,46.391,47.851,20450
2009-07-15,47.851,49.108,47.851,49.069,35378
2009-07-16,48.663,49.473,48.663,49.069,74710
2009-07-17,49.069,49.473,48.742,49.148,19384
2009-07-20,49.069,49.798,48.337,49.798,40450
2009-07-21,49.473,50.081,48.704,49.838,18713
2009-07-22,48.704,49.798,48.704,49.554,107284
2009-07-23,49.473,51.258,49.069,50.892,42703
2009-07-24,51.258,55.556,50.933,54.259,57883
2009-07-27,55.313,56.733,53.568,54.745,78769
2009-07-28,55.151,55.151,54.016,54.259,74284
2009-07-29,53.771,55.151,53.529,55.151,60120
2009-07-30,55.191,55.516,55.151,55.434,39776
2009-07-31,55.921,55.962,55.516,55.962,78710
2009-08-03,56.123,56.611,55.151,55.556,49099
2009-08-04,56.043,56.043,53.974,54.786,33087
2009-08-05,54.422,54.786,54.34,54.34,31248
2009-08-06,54.422,54.501,54.016,54.501,47881
2009-08-07,54.016,56.448,54.016,56.368,11235
2009-08-10,56.368,56.773,55.394,56.773,20842
2009-08-11,56.368,57.989,56.368,56.773,24252
2009-08-12,56.368,56.368,55.069,56.368,25616
2009-08-13,56.368,59.165,56.368,58.8,46398
2009-08-14,59.206,59.206,58.476,58.476,16802
2009-08-17,57.503,57.503,56.448,56.773,15187
2009-08-18,56.773,56.773,55.962,56.529,30808
2009-08-19,57.827,57.827,56.286,57.583,2466
2009-08-20,57.583,58.394,57.583,58.394,4671
2009-08-21,58.8,59.206,57.827,59.206,46778
2009-08-24,59.206,59.206,58.232,58.394,24942
2009-08-25,59.124,59.124,56.65,57.016,46949
2009-08-26,57.016,57.989,56.611,56.692,11853
2009-08-27,56.611,56.773,55.759,56.773,108607
2009-08-28,56.773,57.989,56.773,57.421,18312
2009-08-31,57.421,57.827,56.611,57.827,5759
2009-09-01,57.583,58.232,55.232,56.611,8905
2009-09-02,55.232,55.232,53.529,54.745,24489
2009-09-03,54.016,55.962,54.016,55.881,5193
2009-09-04,55.881,56.773,54.501,55.962,38869
2009-09-07,54.988,55.962,54.988,55.232,15972
2009-09-08,56.692,56.692,53.934,54.299,63337
2009-09-09,54.299,54.299,53.124,53.529,46819
2009-09-10,53.568,54.745,51.177,52.069,43537
2009-09-11,52.718,53.529,52.312,53.529,17979
2009-09-14,53.285,53.285,51.419,51.664,39369
2009-09-15,51.987,53.124,51.987,52.312,27344
2009-09-16,53.124,53.691,52.718,53.691,12647
2009-09-17,53.974,55.881,53.974,55.718,21134
2009-09-18,55.191,56.611,55.151,56.611,11694
2009-09-21,55.962,57.989,55.962,57.665,20562
2009-09-22,56.854,59.612,56.854,59.612,136795
2009-09-23,59.206,59.936,57.989,59.612,12556
2009-09-24,58.597,60.016,58.597,59.936,19464
2009-09-25,59.206,59.612,58.516,59.612,8353
2009-09-28,58.638,59.652,58.638,59.652,13815
2009-09-29,59.652,59.652,59.206,59.612,61239
2009-09-30,58.679,59.855,58.638,59.774,12197
2009-10-01,59.774,59.855,58.842,59.247,7100
2009-10-02,58.8,59.774,58.394,59.774,10688
2009-10-05,59.206,60.787,59.124,59.936,33432
2009-10-06,60.422,60.828,59.936,60.787,10019
2009-10-07,60.828,60.828,58.638,60.422,4152
2009-10-08,60.016,60.301,58.882,60.26,5632
2009-10-09,60.342,61.801,59.612,60.828,22219
2009-10-12,61.153,62.856,60.016,62.856,25318
2009-10-13,63.099,63.099,60.909,61.68,11703
2009-10-14,62.045,62.045,61.558,62.045,143824
2009-10-15,62.368,62.368,60.869,61.761,44999
2009-10-16,61.396,61.639,60.869,61.234,4406
2009-10-19,61.558,61.558,59.206,60.422,5339
2009-10-20,59.936,60.422,58.152,59.774,20290
2009-10-21,59.612,60.016,58.232,60.016,8449
2009-10-22,58.394,60.422,58.394,60.422,56780
2009-10-23,60.016,60.016,59.612,60.016,18329
2009-10-26,59.247,60.828,59.206,60.828,2597
2009-10-27,60.016,60.016,59.45,59.936,3553
2009-10-28,61.234,62.045,59.692,60.016,14499
2009-10-29,60.016,61.07,59.612,61.07,11120
2009-10-30,61.234,61.234,60.422,61.234,14151
2009-11-02,61.193,61.639,60.991,61.639,2513
2009-11-03,61.639,61.639,60.828,61.193,2385
2009-11-04,61.193,61.193,60.382,60.422,4309
2009-11-05,60.016,60.382,59.814,60.016,7082
2009-11-06,60.016,60.828,59.206,59.206,10960
2009-11-09,59.612,60.422,59.124,60.422,9306
2009-11-10,60.828,61.598,60.625,60.828,52396
2009-11-12,60.828,61.234,60.747,61.07,6756
2009-11-13,61.153,61.234,60.016,60.422,9364
2009-11-16,60.828,60.909,60.504,60.828,1271
2009-11-17,60.463,60.463,59.571,60.016,6413
2009-11-18,60.016,60.016,59.206,59.612,7585
2009-11-19,59.489,59.489,58.882,59.327,3477
2009-11-20,59.206,59.895,59.044,59.895,1920
2009-11-23,59.895,59.895,58.882,59.124,11322
2009-11-24,58.8,59.044,57.098,57.583,47585
2009-11-25,57.543,57.665,56.529,57.583,3461
2009-11-26,57.909,57.909,56.368,56.368,9991
2009-11-27,54.583,56.692,54.422,56.692,2842
2009-11-30,56.692,57.909,56.529,57.503,13797
2009-12-01,58.232,58.232,57.177,57.177,5049
2009-12-02,57.583,58.152,57.381,57.421,373407
2009-12-03,58.354,58.354,57.583,57.583,13718
2009-12-04,58.232,58.232,56.733,56.733,2412
2009-12-07,56.773,57.989,56.733,56.733,1088
2009-12-08,56.692,57.583,55.962,57.583,2180791
2009-12-09,57.543,57.543,56.286,56.529,4380
2009-12-10,56.733,57.138,56.286,56.286,64055
2009-12-11,56.773,56.773,56.448,56.733,25684
2009-12-14,56.773,56.813,56.368,56.773,20576
2009-12-15,56.854,57.016,56.813,56.854,19419
2009-12-16,57.177,57.746,57.098,57.665,16872
2009-12-17,58.111,58.152,57.665,57.989,6650
2009-12-18,58.07,58.394,57.503,57.503,2783
2009-12-21,57.989,57.989,56.854,57.583,2054
2009-12-22,57.989,58.719,57.989,58.315,36662
2009-12-23,58.8,58.963,58.719,58.719,1759
2009-12-28,58.719,58.8,58.394,58.394,2105
2009-12-29,58.436,58.8,56.975,58.8,13588
2009-12-30,58.719,58.719,58.192,58.394,2378
2009-12-31,58.232,58.394,56.448,57.583,34879
2010-01-04,57.583,58.759,57.583,58.759,4217
2010-01-05,58.8,58.963,58.719,58.719,58904
2010-01-06,58.719,59.206,58.394,59.206,25602
2010-01-07,59.206,59.206,58.8,59.206,2719
2010-01-08,58.921,59.327,58.8,59.206,87056
2010-01-11,59.287,60.342,59.206,60.342,23735
2010-01-12,61.518,63.261,61.476,62.612,344477
2010-01-13,62.693,66.383,62.693,65.572,23070
2010-01-14,65.695,67.721,65.695,67.114,46897
2010-01-15,67.154,68.127,67.073,67.721,21384
2010-01-18,67.965,67.965,65.734,66.344,9892
2010-01-19,66.424,66.424,65.613,65.695,10352
2010-01-20,66.1,66.302,64.964,65.207,9422
2010-01-21,65.207,65.207,62.409,64.639,18047
2010-01-22,64.803,64.803,62.451,62.856,36380
2010-01-25,63.342,64.883,62.937,64.073,7216
2010-01-26,64.073,64.639,63.261,63.667,20669
2010-01-27,62.856,63.505,62.774,63.261,2151
2010-01-28,63.261,63.301,61.639,61.639,6340
2010-01-29,62.045,62.451,61.234,62.409,3295
2010-02-01,61.396,61.882,60.909,60.909,65476
2010-02-02,63.261,63.261,61.841,62.451,30080
2010-02-03,63.667,64.153,63.261,63.667,6756
2010-02-04,64.073,64.073,61.68,61.72,15438
2010-02-05,59.855,60.828,58.558,60.828,19940
2010-02-08,60.828,60.828,58.882,59.977,3074
2010-02-09,60.016,60.828,59.977,60.22,26752
2010-02-10,60.26,60.828,60.016,60.665,15014
2010-02-11,62.045,62.045,60.016,60.828,942
2010-02-12,60.828,60.828,59.652,60.016,29899
2010-02-15,61.598,61.963,60.016,61.963,2862
2010-02-16,60.949,61.558,60.828,60.828,2933
2010-02-17,61.761,61.761,60.991,60.991,31911
2010-02-18,61.234,61.234,60.342,60.585,49971
2010-02-19,60.625,60.625,59.936,59.936,16084
2010-02-22,60.016,60.747,59.936,60.016,4487
2010-02-23,60.098,60.098,59.247,59.612,3806
2010-02-24,59.206,59.206,57.3,58.354,6246
2010-02-25,58.07,58.152,57.177,57.177,8517
2010-02-26,58.354,58.963,57.098,57.543,5279
2010-03-01,58.719,59.206,57.989,58.476,50383
2010-03-02,58.8,59.165,58.558,58.882,17790
2010-03-03,59.206,59.206,58.719,59.206,1548
2010-03-04,60.828,60.828,58.394,58.8,19857
2010-03-05,60.016,60.26,59.612,59.612,20858
2010-03-08,61.639,61.639,60.179,60.585,7222
2010-03-09,60.382,63.261,59.612,61.801,1577806
2010-03-10,63.261,64.803,63.261,63.667,155195
2010-03-11,64.315,66.06,63.95,64.234,308023
2010-03-12,64.073,64.153,63.261,64.153,6500
2010-03-15,63.505,63.91,61.639,62.288,98283
2010-03-16,63.667,64.762,63.261,63.261,97598
2010-03-17,63.667,64.721,63.261,63.585,133823
2010-03-18,64.397,64.397,63.18,63.829,7788
2010-03-19,64.073,64.073,62.612,62.856,70459
2010-03-22,63.018,63.423,62.288,63.058,43223
2010-03-23,63.099,63.342,62.288,62.288,6386
2010-03-24,63.261,63.261,62.045,62.288,4634
2010-03-25,62.288,62.288,61.639,61.639,6293
2010-03-26,61.639,62.368,61.436,62.368,9999
2010-03-29,62.451,62.451,61.518,62.003,5049
2010-03-30,61.598,62.045,61.558,61.761,44251
2010-03-31,61.639,61.639,59.774,61.436,26205
2010-04-01,62.045,62.045,59.612,59.612,11814
2010-04-06,60.098,60.991,59.895,60.828,11780
2010-04-07,60.909,60.909,59.936,60.016,27401
2010-04-08,60.016,60.016,59.044,59.206,7434
2010-04-09,59.936,60.26,59.165,59.165,29983
2010-04-12,59.165,60.504,59.085,60.098,50581
2010-04-13,60.665,60.665,60.016,60.016,82045
2010-04-14,60.098,62.451,60.098,60.909,56778
2010-04-15,61.639,63.018,61.639,62.815,79590
2010-04-16,61.68,62.451,61.031,61.031,14807
2010-04-19,61.963,62.045,59.53,59.571,6126
2010-04-20,59.652,60.422,58.476,59.206,13522
2010-04-21,60.016,60.422,59.206,60.016,8782
2010-04-22,60.016,60.342,59.368,60.016,8478
2010-04-23,59.287,60.016,59.044,59.085,29127
2010-04-26,60.016,60.139,59.327,60.016,89061
2010-04-27,60.016,60.016,59.247,59.612,84062
2010-04-28,59.287,59.287,57.949,57.989,24672
2010-04-29,58.394,58.558,57.989,57.989,50214
2010-04-30,59.003,59.206,58.8,59.165,6170
2010-05-04,59.936,59.936,58.03,58.03,1474
2010-05-05,56.975,57.583,56.448,57.503,79937
2010-05-06,58.315,58.315,56.448,56.854,145070
2010-05-07,55.151,56.773,53.529,56.368,73107
2010-05-10,57.421,59.287,57.421,58.394,11057
2010-05-11,58.759,58.759,57.827,58.638,25046
2010-05-12,58.679,58.759,57.219,58.476,107587
2010-05-13,58.476,58.638,57.909,58.476,6445
2010-05-14,58.719,58.719,56.773,56.773,16526
2010-05-17,56.448,57.177,56.327,56.975,26730
2010-05-18,56.733,58.759,56.733,58.759,7102
2010-05-19,58.152,58.476,57.421,58.394,31200
2010-05-20,58.394,58.394,57.665,57.827,95051
2010-05-21,56.773,58.354,56.773,58.354,11927
2010-05-24,58.394,59.287,58.394,58.882,14338
2010-05-25,58.394,59.206,57.219,58.394,130913
