date,open,max,min,close,vol
2004-05-26,21.302,22.078,21.204,21.786,528921
2004-05-27,21.98,22.465,21.98,22.272,223724
2004-05-28,22.272,22.37,21.98,22.272,53711
2004-05-31,22.272,22.37,22.078,22.272,22738
2004-06-01,22.272,22.272,21.98,22.272,13549
2004-06-02,22.175,22.272,22.175,22.272,19311
2004-06-03,22.272,22.272,22.078,22.078,7919
2004-06-04,22.272,22.272,22.078,22.272,36884
2004-06-07,22.272,22.661,22.272,22.661,53498
2004-06-08,22.661,23.524,22.661,23.33,36531
2004-06-09,23.426,24.204,23.233,24.204,36949
2004-06-11,24.106,26.145,24.106,25.464,50111
2004-06-14,25.464,25.464,23.912,24.882,23475
2004-06-15,24.689,24.785,24.204,24.396,7661
2004-06-16,24.204,24.882,24.204,24.591,9411
2004-06-17,24.591,24.785,23.718,23.718,27996
2004-06-18,24.009,24.204,23.718,23.718,9583
2004-06-21,23.524,24.494,23.524,24.106,19315
2004-06-22,24.301,24.396,24.106,24.106,6844
2004-06-23,24.494,24.785,24.301,24.301,19777
2004-06-24,24.689,24.689,24.301,24.396,7680
2004-06-25,24.494,24.785,24.204,24.785,9813
2004-06-28,24.98,26.629,24.98,26.435,33743
2004-06-29,26.726,26.824,25.95,26.145,7689
2004-06-30,26.533,26.533,25.95,25.95,10714
2004-07-01,25.95,26.046,25.464,25.852,2191
2004-07-02,25.659,25.852,25.271,25.659,11947
2004-07-05,25.852,26.145,25.757,26.046,4468
2004-07-06,25.852,26.145,25.659,26.046,4313
2004-07-07,26.046,26.435,25.757,26.338,7115
2004-07-08,26.145,27.59,26.145,27.395,15377
2004-07-09,27.59,28.561,27.395,28.561,19105
2004-07-12,28.561,29.627,28.561,28.657,49585
2004-07-13,28.657,29.046,28.366,28.948,24448
2004-07-14,28.561,30.793,28.561,30.501,60783
2004-07-15,30.501,31.657,29.919,30.404,45047
2004-07-16,30.793,31.366,29.434,31.074,50439
2004-07-19,31.461,33.791,31.461,32.529,44705
2004-07-20,33.111,33.111,30.89,32.336,61155
2004-07-21,32.336,32.433,31.461,31.85,106558
2004-07-22,31.946,31.946,31.559,31.85,24645
2004-07-23,31.85,33.403,31.559,33.111,25422
2004-07-26,33.306,33.403,31.85,32.045,30701
2004-07-27,32.336,32.821,31.074,31.755,19662
2004-07-28,32.627,32.627,30.599,30.986,18728
2004-07-29,30.599,31.269,30.016,30.404,19794
2004-07-30,30.404,30.986,30.307,30.986,5445
2004-08-02,31.074,31.946,31.074,31.657,14497
2004-08-03,31.657,31.946,31.559,31.85,16096
2004-08-04,31.755,32.238,31.657,32.142,23554
2004-08-05,32.433,32.433,31.755,31.755,9637
2004-08-06,31.461,31.85,30.501,30.501,12963
2004-08-09,30.501,31.461,28.851,29.531,13948
2004-08-10,29.531,30.404,29.239,30.016,18410
2004-08-11,29.627,30.016,29.627,29.627,21864
2004-08-12,29.531,29.919,29.531,29.627,3439
2004-08-13,29.627,29.823,29.531,29.823,2553
2004-08-16,30.114,30.114,29.919,29.919,1989
2004-08-17,29.823,30.404,29.725,30.016,4075
2004-08-18,30.016,30.599,30.016,30.599,4109
2004-08-19,30.89,30.89,30.21,30.21,3382
2004-08-20,29.919,30.307,29.337,29.725,6429
2004-08-23,29.725,30.307,29.627,30.21,18880
2004-08-24,30.501,31.946,30.501,31.946,22100
2004-08-25,31.946,32.045,31.269,31.657,14361
2004-08-26,31.946,31.946,31.074,31.074,10025
2004-08-27,31.946,31.946,31.461,31.755,1114
2004-08-30,31.755,31.755,30.89,30.89,1697
2004-08-31,30.695,30.986,30.695,30.793,17739
2004-09-01,30.986,31.461,30.793,31.461,10119
2004-09-02,31.366,31.946,30.695,31.755,19949
2004-09-03,31.946,32.045,31.461,31.85,4640
2004-09-06,31.946,31.946,31.461,31.657,1822
2004-09-07,31.074,31.85,31.074,31.657,5565
2004-09-08,31.559,33.597,31.461,33.209,39416
2004-09-09,33.015,34.859,32.627,34.859,46957
2004-09-10,35.722,36.305,35.14,35.14,53135
2004-09-13,35.82,36.596,35.431,36.208,18793
2004-09-14,36.791,37.469,36.014,36.014,27590
2004-09-15,36.014,36.014,35.14,35.722,8389
2004-09-16,35.528,35.722,35.431,35.626,4729
2004-09-17,35.431,35.528,34.859,35.237,9610
2004-09-20,34.859,35.528,34.47,35.335,2617
2004-09-21,35.431,35.431,35.052,35.237,1374
2004-09-22,35.052,35.722,34.859,35.052,5038
2004-09-23,34.859,36.692,34.859,35.916,22967
2004-09-24,36.014,37.179,35.82,35.82,19237
2004-09-27,36.014,36.014,35.528,35.528,4813
2004-09-28,35.14,35.528,35.14,35.528,4314
2004-09-29,35.237,35.82,35.237,35.82,9338
2004-09-30,35.722,35.82,35.431,35.431,4935
2004-10-01,35.335,35.722,35.237,35.722,3289
2004-10-04,36.305,36.888,35.82,36.014,15485
2004-10-05,36.305,36.305,35.82,35.82,7662
2004-10-06,35.82,35.82,35.528,35.722,5218
2004-10-07,35.626,35.626,34.761,35.335,13406
2004-10-08,34.859,35.237,34.567,35.237,6123
2004-10-11,34.859,35.335,34.761,34.956,3668
2004-10-12,34.567,34.567,33.889,33.985,14972
2004-10-13,33.403,33.889,33.306,33.597,12129
2004-10-14,33.791,34.567,33.791,34.18,16534
2004-10-15,34.567,34.567,34.18,34.18,130463
2004-10-18,34.374,34.374,34.081,34.081,42799
2004-10-19,33.985,33.985,33.015,33.015,8567
2004-10-20,33.015,33.015,31.946,32.724,23270
2004-10-21,31.946,33.306,31.946,33.306,6856
2004-10-22,33.791,34.47,33.791,34.18,2408
2004-10-25,32.627,33.889,32.627,33.403,4862
2004-10-26,33.306,34.761,33.015,34.761,10627
2004-10-27,34.666,35.626,34.567,35.335,34750
2004-10-28,36.401,37.179,36.401,36.888,41840
2004-10-29,37.954,37.954,37.371,37.954,681289
2004-11-02,38.149,38.149,37.08,37.469,23175
2004-11-03,37.761,37.761,36.888,37.276,4502
2004-11-04,37.179,37.276,36.888,37.179,5973
2004-11-05,37.276,38.149,37.179,38.149,18123
2004-11-08,38.633,38.633,37.371,37.857,17081
2004-11-09,37.857,37.857,37.371,37.469,10651
2004-11-10,37.761,38.052,36.983,38.052,19768
2004-11-12,38.342,38.342,37.469,37.566,8792
2004-11-15,37.761,37.761,36.791,36.791,10674
2004-11-16,36.791,37.276,35.82,36.888,8940
2004-11-17,36.791,37.08,36.305,37.08,9275
2004-11-18,37.08,37.179,36.791,36.888,56166
2004-11-19,37.179,37.179,36.692,36.692,5076
2004-11-22,36.791,36.791,36.499,36.499,7150
2004-11-23,36.499,36.791,36.014,36.401,4744
2004-11-24,36.596,36.596,35.052,35.335,11708
2004-11-25,35.052,35.82,34.956,35.431,10797
2004-11-26,35.528,35.528,35.052,35.528,2022
2004-11-29,35.528,35.528,34.956,34.956,3088
2004-11-30,34.859,35.335,34.277,34.956,6642
2004-12-01,35.335,36.499,35.335,36.499,10152
2004-12-02,36.692,37.469,36.499,37.276,45938
2004-12-03,37.469,37.469,36.791,36.983,8654
2004-12-06,36.791,37.179,36.305,36.791,19145
2004-12-07,36.692,37.276,36.692,37.276,14794
2004-12-08,37.371,37.371,36.888,37.371,3978
2004-12-09,36.888,36.888,36.791,36.791,1862
2004-12-10,36.983,37.276,36.791,36.791,4058
2004-12-13,36.791,36.983,36.305,36.305,4630
2004-12-14,36.791,36.791,35.82,36.305,4735
2004-12-15,35.82,36.208,35.722,35.82,2438
2004-12-16,35.916,36.401,35.82,36.401,4897
2004-12-17,36.499,36.499,35.82,36.305,4686
2004-12-20,36.305,36.401,35.528,36.401,4794
2004-12-21,36.401,36.401,35.82,35.82,3109
2004-12-22,35.916,35.916,35.528,35.626,4773
2004-12-23,35.431,35.916,35.335,35.82,658
2004-12-24,35.431,36.208,35.431,36.208,378
2004-12-27,36.208,36.208,35.431,36.208,2183
2004-12-28,36.208,36.208,35.722,35.916,4651
2004-12-29,35.82,36.208,35.626,36.11,5249
2004-12-30,36.014,36.208,35.82,36.208,1142
2004-12-31,36.208,36.208,35.82,36.208,1062
2005-01-03,36.305,36.791,36.305,36.305,10873
2005-01-04,36.499,36.499,35.916,36.208,1696
2005-01-05,36.014,36.208,35.82,36.208,4074
2005-01-06,35.626,35.82,35.14,35.626,5314
2005-01-07,35.626,35.626,35.335,35.335,12446
2005-01-10,35.82,35.82,35.335,35.626,15890
2005-01-11,35.335,35.626,35.335,35.528,1818
2005-01-12,35.431,35.722,35.431,35.722,2915
2005-01-13,35.528,35.528,35.14,35.14,14017
2005-01-14,35.14,35.335,35.14,35.335,1902
2005-01-17,35.626,36.596,35.626,36.305,24879
2005-01-18,36.11,36.401,33.499,35.82,16856
2005-01-19,35.82,35.82,35.335,35.335,2617
2005-01-20,35.052,35.335,34.956,35.335,17060
2005-01-21,35.335,35.82,35.335,35.722,1864
2005-01-24,35.626,36.014,35.626,36.014,1588
2005-01-25,36.305,36.305,35.82,36.11,47280
2005-01-26,36.305,36.499,36.305,36.499,3538
2005-01-27,36.499,38.149,36.499,38.149,31927
2005-01-28,38.245,39.215,37.954,38.924,42048
2005-01-31,39.215,39.497,39.022,39.215,10762
2005-02-01,39.022,39.022,37.664,38.731,17108
2005-02-02,38.537,39.119,37.954,38.342,44790
2005-02-03,38.537,38.731,38.44,38.44,43513
2005-02-04,38.342,40.275,38.342,40.177,25675
2005-02-07,40.759,41.439,39.594,39.691,97396
2005-02-08,39.691,39.79,39.691,39.691,116711
2005-02-09,39.497,39.594,39.401,39.594,9964
2005-02-10,39.401,39.401,38.924,39.401,2533
2005-02-11,39.401,39.401,38.924,38.924,4994
2005-02-14,38.829,38.924,38.052,38.537,5251
2005-02-15,37.857,38.731,37.761,38.731,24958
2005-02-16,39.119,39.304,38.633,38.633,177670
2005-02-17,38.537,39.022,38.44,38.537,2102
2005-02-18,38.537,38.537,38.245,38.342,4162
2005-02-21,38.633,38.633,37.954,37.954,1913
2005-02-22,37.954,38.052,37.276,37.276,4634
2005-02-23,37.179,37.276,37.179,37.276,5190
2005-02-24,37.761,37.761,36.692,37.664,4359
2005-02-25,37.664,37.664,36.888,37.276,876
2005-02-28,37.371,37.371,36.791,37.276,9136
2005-03-01,37.276,37.857,37.276,37.857,62136
2005-03-02,37.761,38.245,37.276,38.149,1117
2005-03-03,38.245,38.537,37.761,38.245,21002
2005-03-04,38.245,38.245,37.954,38.245,51165
2005-03-07,38.342,38.537,37.761,38.245,22133
2005-03-08,38.245,38.245,38.149,38.245,20910
2005-03-09,38.245,38.245,38.245,38.245,16087
2005-03-10,38.149,38.245,36.692,38.245,18332
2005-03-14,37.371,37.371,37.08,37.08,547
2005-03-15,37.08,37.08,36.791,36.791,993
2005-03-16,36.305,36.401,35.82,35.82,5023
2005-03-17,35.626,35.626,33.889,34.374,22440
2005-03-18,34.081,35.335,33.403,33.695,12800
2005-03-21,33.889,33.889,33.403,33.403,6917
2005-03-22,33.403,33.889,32.142,32.336,6935
2005-03-23,32.529,33.597,32.142,33.597,915
2005-03-24,33.695,34.277,33.695,33.695,1848
2005-03-29,33.403,33.403,32.821,33.403,3526
2005-03-30,33.015,33.015,32.917,32.917,1005
2005-03-31,32.917,33.695,32.917,33.695,1285
2005-04-01,33.597,34.081,33.499,33.985,417
2005-04-04,34.277,34.277,33.695,33.695,228
2005-04-05,33.695,34.18,33.695,34.18,173
2005-04-06,34.374,34.761,34.277,34.761,707
2005-04-07,34.761,34.859,34.666,34.859,264
2005-04-11,34.859,34.859,33.889,33.889,111
2005-04-12,33.889,34.761,33.889,33.889,175
2005-04-13,34.567,34.859,34.277,34.859,303
2005-04-14,34.277,34.277,33.985,33.985,667
2005-04-15,33.985,34.081,33.889,33.889,1125
2005-04-18,33.889,33.889,33.111,33.889,652
2005-04-19,33.403,33.791,33.403,33.791,871
2005-04-20,33.791,34.374,33.499,34.374,49418
2005-04-21,33.209,34.18,33.209,34.18,81
2005-04-22,34.18,34.18,33.597,33.597,363
2005-04-25,33.889,34.374,33.889,33.889,939
2005-04-26,33.015,33.695,32.045,32.142,898
2005-04-27,30.986,33.889,30.016,33.889,5290
2005-04-28,31.559,33.597,31.559,33.597,143
2005-04-29,31.559,32.724,31.559,32.433,248
2005-05-04,31.559,32.917,31.074,31.657,11189
2005-05-05,31.946,32.433,31.946,32.433,386
2005-05-06,32.433,32.433,31.946,31.946,248
2005-05-09,31.946,31.946,29.627,29.627,2418
2005-05-10,30.016,30.501,29.046,29.919,6490
2005-05-11,29.239,30.016,29.239,30.016,4132
2005-05-12,29.337,29.531,29.337,29.531,995
2005-05-13,29.143,29.143,27.104,27.104,4646
2005-05-16,27.202,27.202,26.145,26.435,7519
2005-05-17,26.435,27.104,26.435,27.104,1612
2005-05-18,28.075,29.337,27.978,29.337,4894
2005-05-19,29.434,29.823,27.881,28.075,4027
