date,open,max,min,close,vol
1997-07-10,8.0476,8.0476,8.0476,8.0476,7190075
1997-07-11,8.219,8.219,8.219,8.219,4547878
1997-07-14,7.3994,7.3994,7.3994,7.3994,1162876
1997-07-15,6.6816,6.6816,6.6816,6.6816,2430180
1997-07-16,7.3298,7.3298,7.3298,7.3298,1666283
1997-07-17,7.4689,7.5336,7.4689,7.5336,2245946
1997-07-18,7.3623,7.3623,7.1261,7.1585,780890
1997-07-21,7.3623,7.3623,7.2975,7.3623,1068518
1997-07-22,7.3623,7.4689,7.3623,7.3994,692807
1997-07-23,7.4317,7.4317,7.228,7.2975,594085
1997-07-24,7.3623,7.3623,7.2975,7.2975,724049
1997-07-25,7.3298,7.3298,7.2604,7.2604,577889
1997-07-28,7.1956,7.1956,7.0892,7.0892,602391
1997-07-29,7.0243,7.1956,7.0243,7.1261,344772
1997-07-30,7.1261,7.3623,7.1261,7.2975,384292
1997-07-31,7.2604,7.2604,7.0892,7.1261,382121
1997-08-01,7.1261,7.2604,7.1261,7.1261,285185
1997-08-04,7.1956,7.2604,7.1956,7.228,404470
1997-08-05,7.2604,7.3623,7.2604,7.3623,598068
1997-08-06,7.3623,7.3623,7.2604,7.2975,437194
1997-08-07,7.3298,7.8113,7.3298,7.7744,547019
1997-08-08,7.6726,8.219,7.6726,8.0152,1082742
1997-08-11,7.8764,7.8764,7.6402,7.6726,778290
1997-08-12,7.6402,7.8764,7.6402,7.7744,643519
1997-08-13,7.8764,7.8764,7.8764,7.8764,862546
1997-08-14,7.6031,7.705,7.5708,7.6031,373983
1997-08-18,7.5012,7.5012,7.2975,7.3623,359568
1997-08-19,7.6031,7.8764,7.6031,7.7421,672661
1997-08-20,7.8113,7.8113,7.6726,7.705,659415
1997-08-21,7.5336,7.5336,7.4689,7.4689,228506
1997-08-22,7.4317,7.6031,7.4317,7.5708,218981
1997-08-25,7.4689,7.5708,7.3623,7.3623,205096
1997-08-26,7.3623,7.5012,7.3623,7.4317,239239
1997-08-27,7.4317,7.5012,7.4317,7.4689,224860
1997-08-28,7.6402,7.8113,7.6402,7.7744,895228
1997-08-29,7.705,7.705,7.6402,7.6726,957973
1997-09-01,7.5708,7.6402,7.5708,7.5708,254713
1997-09-02,7.705,7.7744,7.705,7.7421,592392
1997-09-03,7.8113,7.9828,7.8113,7.9457,1132652
1997-09-04,7.8113,7.8113,7.705,7.7421,590171
