date,open,max,min,close,vol
1997-06-30,16.082,16.082,16.082,16.082,1735879
1997-07-01,16.339,16.339,16.339,16.339,3240026
1997-07-02,16.977,16.977,16.977,16.977,2972263
1997-07-03,17.184,17.184,17.184,17.184,1634564
1997-07-04,17.525,17.525,17.525,17.525,626717
1997-07-07,17.821,18.249,17.821,17.992,983084
1997-07-08,18.415,18.415,18.034,18.288,1030262
1997-07-09,18.034,18.331,18.034,18.249,475402
1997-07-10,17.821,18.161,17.821,17.865,661324
1997-07-11,17.614,17.651,17.272,17.355,635707
1997-07-14,17.398,17.398,16.888,17.058,1191517
1997-07-15,16.977,17.184,16.977,17.147,1436093
1997-07-16,17.102,17.272,17.102,17.184,745072
1997-07-17,17.398,17.74,17.398,17.74,907508
1997-07-18,17.614,17.651,17.398,17.398,887646
1997-07-21,17.184,17.355,17.147,17.229,113285
1997-07-22,17.184,17.229,17.147,17.229,823970
1997-07-23,17.229,17.229,17.184,17.184,308387
1997-07-24,17.398,17.398,17.184,17.184,525870
1997-07-25,17.398,17.398,16.763,16.977,615569
1997-07-28,16.977,17.184,16.977,17.014,354426
1997-07-29,17.184,17.355,17.184,17.311,578761
1997-07-30,17.229,17.355,17.229,17.355,192950
1997-07-31,17.398,17.442,17.184,17.272,474238
1997-08-01,17.184,17.398,17.184,17.184,215106
1997-08-04,17.229,17.229,16.548,16.548,601221
1997-08-05,17.058,17.272,17.058,17.272,400694
1997-08-06,17.184,17.311,17.184,17.272,400057
1997-08-07,17.398,18.672,17.398,18.672,1024536
1997-08-08,19.139,20.582,19.139,20.242,1201736
1997-08-11,19.517,19.517,18.969,19.095,445710
1997-08-12,19.095,19.732,19.095,19.308,650562
1997-08-13,18.249,18.249,18.249,18.249,317808
1997-08-14,18.118,18.118,17.909,17.909,325117
1997-08-18,17.821,17.821,17.398,17.74,194781
1997-08-19,17.865,18.161,17.865,18.161,169431
1997-08-20,18.118,18.331,18.079,18.079,96271
1997-08-21,18.249,18.249,18.079,18.118,281414
1997-08-22,18.249,18.249,18.249,18.249,157013
1997-08-25,18.249,18.249,18.161,18.161,69079
1997-08-26,18.331,18.545,18.331,18.375,136515
1997-08-27,18.672,19.095,18.545,18.584,146377
1997-08-28,18.629,18.716,18.458,18.458,107435
1997-08-29,18.584,18.584,18.249,18.331,117359
1997-09-01,18.249,18.288,18.161,18.161,79262
1997-09-02,18.672,19.139,18.672,18.923,488235
1997-09-03,19.183,19.732,19.183,19.686,580324
1997-09-04,19.139,19.352,19.095,19.308,329175
1997-09-05,19.434,19.732,19.434,19.732,457579
1997-09-08,19.649,20.071,19.517,20.028,378712
1997-09-09,19.989,20.834,19.989,20.792,458522
1997-09-10,20.792,21.049,20.582,20.792,799756
1997-09-11,20.324,20.582,20.324,20.412,246721
1997-09-12,20.028,20.028,19.819,19.819,171295
1997-09-15,20.367,20.752,20.367,20.582,208736
1997-09-16,20.582,20.582,20.412,20.495,211579
1997-09-17,20.792,20.792,20.495,20.495,387623
1997-09-18,21.049,21.855,21.049,21.855,242158
1997-09-19,21.427,21.855,21.427,21.642,357456
1997-09-22,21.855,22.064,21.642,22.064,368692
1997-09-23,21.427,21.642,21.427,21.642,293755
1997-09-24,21.219,21.219,20.96,20.96,178218
1997-09-25,20.792,21.005,20.582,20.792,184197
1997-09-26,20.834,20.834,20.665,20.792,184116
1997-09-29,20.792,21.219,20.792,20.96,60120
1997-09-30,20.792,21.049,20.792,21.005,478096
1997-10-01,21.092,21.427,21.092,21.427,119099
1997-10-02,21.219,21.219,20.792,21.005,299807
1997-10-03,21.049,21.049,21.005,21.049,285869
1997-10-06,18.969,20.456,18.969,20.285,117420
1997-10-07,20.367,20.582,20.285,20.285,322973
1997-10-08,20.153,20.456,20.153,20.324,139032
1997-10-09,20.028,20.115,19.946,19.989,351910
1997-10-10,20.028,20.324,20.028,20.115,223368
1997-10-13,20.582,21.427,20.582,21.219,163814
1997-10-14,21.427,21.855,21.427,21.855,288141
1997-10-15,21.855,21.855,21.642,21.642,352834
1997-10-16,21.855,21.855,21.642,21.642,453765
1997-10-17,21.855,22.278,21.855,22.064,288176
1997-10-20,21.855,22.278,21.855,22.064,148094
1997-10-21,22.064,22.493,22.064,22.064,204571
1997-10-22,22.493,22.493,22.278,22.278,197142
1997-10-23,21.855,21.855,21.219,21.219,131303
1997-10-24,21.219,22.064,21.219,22.064,227669
1997-10-27,21.175,21.175,20.028,20.665,186132
1997-10-28,19.095,19.095,17.398,17.821,105807
1997-10-29,21.005,21.219,20.627,20.792,358555
1997-10-30,19.308,20.367,19.308,19.517,369593
1997-10-31,19.858,20.538,19.858,20.538,322200
1997-11-03,19.946,20.582,19.946,20.538,280196
1997-11-04,20.582,20.582,20.153,20.242,101269
1997-11-05,20.367,20.367,19.946,19.946,77534
1997-11-06,20.324,20.324,20.028,20.071,69733
1997-11-07,19.605,19.732,19.517,19.517,180331
1997-11-12,18.672,18.672,18.331,18.375,118727
1997-11-13,16.977,18.249,16.977,18.118,335952
1997-11-14,17.821,18.034,17.695,18.034,444723
1997-11-17,18.458,18.672,18.415,18.672,294596
1997-11-18,18.672,18.672,18.118,18.161,190261
1997-11-19,17.821,17.821,17.614,17.74,201800
1997-11-20,18.034,18.034,17.782,17.782,75777
1997-11-21,18.205,18.503,18.205,18.503,288631
1997-11-24,17.992,17.992,17.74,17.74,203312
1997-11-25,17.782,18.079,17.782,17.909,187142
1997-11-26,17.614,17.865,17.525,17.651,186231
1997-11-27,17.48,17.651,17.48,17.614,102587
1997-11-28,17.614,17.695,17.398,17.614,132660
1997-12-01,17.821,18.503,17.821,18.458,197443
1997-12-02,18.672,19.012,18.672,18.923,211810
1997-12-03,18.756,18.886,18.629,18.798,171823
1997-12-04,18.672,19.308,18.672,18.886,294676
1997-12-05,18.672,18.672,18.331,18.375,116857
1997-12-08,18.034,18.161,17.909,18.079,102749
1997-12-09,17.821,17.865,17.651,17.821,216150
1997-12-10,17.821,17.992,17.74,17.74,268010
1997-12-11,17.058,17.229,17.058,17.102,351837
1997-12-12,16.977,17.272,16.977,17.229,369104
1997-12-15,17.184,17.442,17.184,17.311,272944
1997-12-16,17.229,17.355,17.184,17.184,288107
1997-12-17,17.311,17.311,17.147,17.147,279362
1997-12-18,16.977,17.398,16.977,17.398,232051
1997-12-19,16.977,17.102,16.977,16.977,493955
1997-12-22,16.977,17.058,16.977,17.014,200811
1997-12-23,16.844,17.311,16.844,17.184,116095
1997-12-29,17.651,18.249,17.651,18.249,76257
1997-12-30,18.249,18.716,18.249,18.672,231600
1997-12-31,19.095,19.649,19.095,19.56,248597
1998-01-05,19.517,19.56,19.221,19.517,274324
1998-01-06,18.756,18.756,18.584,18.629,204224
1998-01-07,16.977,16.977,16.977,16.977,448381
1998-01-08,18.415,18.415,17.865,17.947,328997
1998-01-09,17.568,17.821,17.568,17.74,240043
1998-01-12,16.977,17.272,16.888,16.977,383691
1998-01-13,17.865,17.909,17.568,17.909,287411
1998-01-14,18.288,18.458,18.288,18.331,307437
1998-01-15,17.909,17.992,17.821,17.992,112247
1998-01-16,17.909,18.331,17.909,18.205,455894
1998-01-19,18.798,19.095,18.798,19.095,353471
1998-01-20,19.012,19.095,18.672,19.012,291339
1998-01-21,19.012,19.012,18.716,18.798,156265
1998-01-22,18.629,18.842,18.629,18.842,207494
1998-01-23,18.842,19.139,18.842,19.05,166690
1998-01-26,18.923,19.095,18.923,18.969,244041
1998-01-27,19.095,19.434,19.095,19.391,213960
1998-01-28,19.775,20.456,19.775,20.367,370321
1998-01-29,20.627,21.427,20.627,21.219,511270
1998-01-30,21.642,21.642,21.219,21.427,564549
1998-02-02,22.278,23.128,22.278,22.914,540192
1998-02-03,22.914,23.551,22.914,22.914,607498
1998-02-04,22.7,22.7,22.064,22.064,362528
1998-02-05,22.493,22.914,22.493,22.914,910967
1998-02-06,23.128,23.551,22.914,22.914,624476
1998-02-09,23.337,23.337,22.493,22.7,784068
1998-02-10,21.855,22.278,21.855,22.064,205839
1998-02-11,22.278,22.493,21.855,21.855,343019
1998-02-12,21.642,21.642,20.582,20.752,217971
1998-02-13,20.582,21.005,20.582,21.005,467090
1998-02-16,22.064,22.064,21.427,21.427,244232
1998-02-17,21.642,22.064,21.427,22.064,161350
1998-02-18,22.064,22.493,22.064,22.493,576504
1998-02-19,22.493,23.128,22.493,22.7,408560
1998-02-20,22.064,22.7,22.064,22.493,312422
1998-02-23,22.914,23.551,22.914,23.551,528208
1998-02-24,23.128,23.128,22.278,22.493,354852
1998-02-25,22.064,22.7,22.064,22.493,178563
1998-02-26,23.337,23.337,22.914,22.914,679792
1998-02-27,23.337,23.337,22.7,22.914,371823
1998-03-02,22.914,23.974,22.914,23.974,438744
1998-03-03,23.551,23.551,22.493,22.7,287677
1998-03-04,22.493,22.493,22.064,22.493,282284
1998-03-05,22.064,22.064,21.642,21.855,192078
1998-03-06,22.278,22.7,22.278,22.278,128695
1998-03-09,23.337,24.188,23.337,23.766,745367
1998-03-10,23.766,24.402,23.766,24.402,731886
1998-03-11,24.402,24.402,23.551,23.551,404136
1998-03-12,23.551,23.974,23.551,23.766,411012
1998-03-13,23.766,23.974,23.766,23.974,353900
1998-03-16,24.188,24.188,23.551,23.766,291892
1998-03-17,24.188,24.188,23.766,23.974,442626
1998-03-18,24.611,24.824,24.188,24.402,618982
1998-03-19,24.402,24.824,24.402,24.611,152088
1998-03-20,24.611,25.247,24.611,25.247,180692
1998-03-23,25.039,25.039,24.402,24.402,157285
1998-03-24,24.611,24.611,23.974,23.974,213417
1998-03-25,23.551,24.188,23.551,24.188,419711
1998-03-26,23.974,23.974,23.337,23.766,314278
1998-03-27,23.766,24.188,23.766,24.188,313795
1998-03-30,24.188,24.188,23.766,23.766,342204
1998-03-31,23.551,23.974,23.551,23.766,140748
1998-04-01,23.974,23.974,23.766,23.766,158593
1998-04-02,23.974,23.974,23.551,23.766,170853
1998-04-06,24.402,24.824,24.402,24.611,156263
1998-04-07,24.611,24.824,24.611,24.611,220587
1998-04-08,24.402,24.402,23.974,24.188,135970
1998-04-09,23.766,24.188,23.766,24.188,124525
1998-04-14,24.188,24.402,24.188,24.402,73930
1998-04-15,24.611,24.611,23.974,24.402,110431
1998-04-16,24.188,24.188,23.766,23.766,64287
1998-04-17,23.551,23.766,23.337,23.337,371063
1998-04-20,23.551,23.766,23.337,23.337,89390
1998-04-21,23.337,23.337,22.914,23.128,82510
1998-04-22,24.611,24.611,24.188,24.188,336453
1998-04-23,25.039,25.039,24.611,25.039,226822
1998-04-24,25.461,26.521,25.461,26.312,386241
1998-04-27,26.312,26.312,25.461,25.461,233838
1998-04-28,25.461,25.884,25.247,25.884,275553
1998-04-29,26.312,27.157,26.312,26.734,192268
1998-04-30,26.734,27.794,26.734,27.58,329222
1998-05-04,28.008,28.216,27.794,27.794,179232
1998-05-05,28.853,28.853,28.216,28.216,260237
1998-05-06,28.431,28.431,27.794,27.794,139513
1998-05-07,28.008,28.216,27.794,28.008,320271
1998-05-08,27.58,28.431,27.58,28.008,322243
1998-05-11,28.431,28.644,28.431,28.431,261339
1998-05-12,28.431,28.431,27.58,27.58,193508
1998-05-13,27.58,27.58,26.943,27.157,181735
1998-05-14,26.943,27.157,26.312,27.157,83768
1998-05-15,26.734,26.943,26.312,26.943,158753
1998-05-18,26.734,26.734,25.461,25.461,121720
1998-05-19,25.884,26.098,25.884,25.884,452758
1998-05-20,26.098,26.521,26.098,26.312,185993
1998-05-21,27.58,28.008,27.58,27.794,387113
1998-05-22,27.58,28.216,27.371,28.008,369196
1998-05-25,27.794,27.794,27.157,27.794,140594
1998-05-26,25.675,27.371,25.675,27.371,138134
1998-05-27,26.521,26.521,25.247,25.675,61748
1998-05-28,26.734,27.157,26.098,26.098,139884
1998-05-29,25.461,26.098,25.039,25.461,592410
1998-06-01,25.461,25.461,23.974,24.824,458089
1998-06-02,23.974,24.824,23.974,24.402,269543
1998-06-03,25.039,25.884,25.039,25.461,134423
1998-06-04,25.675,26.098,25.461,25.675,241818
1998-06-05,27.157,27.371,26.734,27.157,317824
