Id,MSSubClass,LotArea,LandSlope,HouseStyle,OverallQual,OverallCond,YearBuilt,MasVnrArea,TotalBsmtSF,Heating,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,MiscVal,YrSold,SalePrice
1,60,8450,Gtl,2Story,7,5,2003,196,856,GasA,Y,856,854,1710,2,1,3,8,0,2,548,Y,0,61,0,2008,208500
2,20,9600,Gtl,1Story,6,8,1976,0,1262,GasA,Y,1262,0,1262,2,0,3,6,1,2,460,Y,298,0,0,2007,181500
3,60,11250,Gtl,2Story,7,5,2001,162,920,GasA,Y,920,866,1786,2,1,3,6,1,2,608,Y,0,42,0,2008,223500
4,70,9550,Gtl,2Story,7,5,1915,0,756,GasA,Y,961,756,1717,1,0,3,7,1,3,642,Y,0,35,0,2006,140000
5,60,14260,Gtl,2Story,8,5,2000,350,1145,GasA,Y,1145,1053,2198,2,1,4,9,1,3,836,Y,192,84,0,2008,250000
6,50,14115,Gtl,1.5Fin,5,5,1993,0,796,GasA,Y,796,566,1362,1,1,1,5,0,2,480,Y,40,30,700,2009,143000
7,20,10084,Gtl,1Story,8,5,2004,186,1686,GasA,Y,1694,0,1694,2,0,3,7,1,2,636,Y,255,57,0,2007,307000
8,60,10382,Gtl,2Story,7,6,1973,240,1107,GasA,Y,1107,983,2090,2,1,3,7,2,2,484,Y,235,204,350,2009,200000
9,50,6120,Gtl,1.5Fin,7,5,1931,0,952,GasA,Y,1022,752,1774,2,0,2,8,2,2,468,Y,90,0,0,2008,129900
10,190,7420,Gtl,1.5Unf,5,6,1939,0,991,GasA,Y,1077,0,1077,1,0,2,5,2,1,205,Y,0,4,0,2008,118000
11,20,11200,Gtl,1Story,5,5,1965,0,1040,GasA,Y,1040,0,1040,1,0,3,5,0,1,384,Y,0,0,0,2008,129500
12,60,11924,Gtl,2Story,9,5,2005,286,1175,GasA,Y,1182,1142,2324,3,0,4,11,2,3,736,Y,147,21,0,2006,345000
