"amount","account_id","memo","transaction_date","processed_Memo","name"
"554","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","Starbucks","2018-12-31 00:00:00","starbucks","credit card"
"4520","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","PURSUIT INC ETOBICOKE ON","2018-12-31 00:00:00","pursuit inc etobicoke on","credit card"
"1808","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","WEST ELM 0917 TORONTO ON","2018-12-31 00:00:00","west elm toronto on","credit card"
"-7100","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","PAYMENT - THANK YOU / PAIEMENT - MERCI","2018-12-31 00:00:00","payment thank you paiement merci","credit card"
"1433","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","CINEPLEX 7260 QPS ETOBICOKE ON","2018-12-31 00:00:00","cineplex qps etobicoke on","credit card"
"677","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","KITCHEN STUFF PLUS #12 TORONTO ON","2018-12-31 00:00:00","kitchen stuff plus toronto on","credit card"
"200","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","IMPARK00090407U TORONTO ON","2018-12-31 00:00:00","impark00090407u toronto on","credit card"
"3830","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","FARSI DINE IN THORNHILL ON","2018-12-31 00:00:00","farsi dine in thornhill on","credit card"
"-5134","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","KITCHEN STUFF PLUS #12 TORONTO ON","2018-12-31 00:00:00","kitchen stuff plus toronto on","credit card"
"3000","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","ESSO 5571 YONGE N. TORONTO ON","2018-12-31 00:00:00","esso yonge n toronto on","credit card"
"6944","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","Amazon","2018-12-31 00:00:00","amazon","credit card"
"1424","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","Starbucks","2018-12-31 00:00:00","starbucks","credit card"
"1900","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","WWW TRANSFER - 3983","2018-12-31 00:00:00","www transfer","checking"
"1504","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","IDP PURCHASE - 4399 -QUIK SHOP","2018-12-31 00:00:00","idp purchase quik shop","checking"
